timestamp_s,seq,evento
0.560897,183,ENVIADO
0.560934,176,ACK
0.561849,184,ENVIADO
0.561883,177,ACK
0.562797,185,ENVIADO
0.562827,178,ACK
0.563584,186,ENVIADO
0.563961,179,ACK
0.564757,187,ENVIADO
0.564948,180,ACK
0.565626,188,ENVIADO
0.566113,181,ACK
0.566833,189,ENVIADO
0.570729,182,ACK
0.57192,190,ENVIADO
0.571971,183,ACK
0.572968,191,ENVIADO
0.573008,184,ACK
0.643486,192,ENVIADO
0.643527,185,ACK
0.644598,193,ENVIADO
0.644636,186,ACK
0.645835,194,ENVIADO
0.64587,187,ACK
0.64679,195,ENVIADO
0.646823,188,ACK
0.647795,196,ENVIADO
0.64783,189,ACK
0.648893,197,ENVIADO
0.648932,190,ACK
0.649859,198,ENVIADO
0.649892,191,ACK
0.650609,199,ENVIADO
0.654569,192,ACK
0.655461,200,ENVIADO
0.655548,193,ACK
0.656281,201,ENVIADO
0.65668,194,ACK
0.657364,202,ENVIADO
0.657522,195,ACK
0.658024,203,ENVIADO
0.658649,196,ACK
0.675545,204,ENVIADO
0.675574,197,ACK
0.676005,205,ENVIADO
0.676016,198,ACK
0.676288,206,ENVIADO
0.676299,199,ACK
0.73437,207,ENVIADO
0.774701,200,ACK
0.797642,208,ENVIADO
0.79769,201,ACK
0.798982,209,ENVIADO
0.799004,202,ACK
0.799902,210,ENVIADO
0.79992,203,ACK
0.800715,211,ENVIADO
0.800773,204,ACK
0.801658,212,ENVIADO
0.801675,205,ACK
0.802293,213,ENVIADO
0.80231,206,ACK
0.802804,214,ENVIADO
0.802825,207,ACK
0.804052,215,ENVIADO
0.80889,208,ACK
0.809638,216,ENVIADO
0.809881,209,ACK
0.810449,217,ENVIADO
0.810499,210,ACK
0.810944,218,ENVIADO
0.811621,211,ACK
0.812112,219,ENVIADO
0.812326,212,ACK
0.813135,220,ENVIADO
0.830795,213,ACK
0.832236,221,ENVIADO
0.832264,214,ACK
0.833007,222,ENVIADO
0.833062,215,ACK
0.833589,223,ENVIADO
0.833644,216,ACK
0.834452,224,ENVIADO
0.834507,217,ACK
0.856164,225,ENVIADO
0.856192,218,ACK
0.85698,226,ENVIADO
0.85701,219,ACK
0.857877,227,ENVIADO
0.8579,220,ACK
0.858686,228,ENVIADO
0.858746,221,ACK
0.859482,229,ENVIADO
0.859538,222,ACK
0.859991,230,ENVIADO
0.860008,223,ACK
0.860982,231,ENVIADO
0.86581,224,ACK
0.866642,232,ENVIADO
0.866903,225,ACK
0.867385,233,ENVIADO
0.867568,226,ACK
0.86885,234,ENVIADO
0.868876,227,ACK
0.869954,235,ENVIADO
0.870009,228,ACK
0.870979,236,ENVIADO
0.871015,229,ACK
0.871852,237,ENVIADO
0.871891,230,ACK
0.872707,238,ENVIADO
0.872742,231,ACK
0.873749,239,ENVIADO
0.877851,232,ACK
0.895548,240,ENVIADO
0.89558,233,ACK
0.896224,241,ENVIADO
0.896251,234,ACK
0.896854,242,ENVIADO
0.896877,235,ACK
0.897539,243,ENVIADO
0.897563,236,ACK
0.898188,244,ENVIADO
0.898273,237,ACK
0.898957,245,ENVIADO
0.898989,238,ACK
0.899701,246,ENVIADO
0.899732,239,ACK
0.900553,247,ENVIADO
0.906272,240,ACK
0.906982,248,ENVIADO
0.907009,241,ACK
0.907709,249,ENVIADO
0.907742,242,ACK
0.908399,250,ENVIADO
0.908425,243,ACK
0.90896,251,ENVIADO
0.908981,244,ACK
0.90976,252,ENVIADO
0.909796,245,ACK
0.910558,253,ENVIADO
0.910585,246,ACK
0.911255,254,ENVIADO
0.911288,247,ACK
0.911963,255,ENVIADO
0.91767,248,ACK
0.918301,249,ACK
0.918877,250,ACK
0.919624,251,ACK
0.920367,252,ACK
0.921222,253,ACK
0.921953,254,ACK
0.922553,255,ACK
